name,demand,cutoff,yield
The University of Alabama,6454,0.48234627227701055,0.37
Auburn University,3726,0.5753125398986488,0.29
Judson College,68,0.1263608019733148,0.34
University of Montevallo,531,0.20346643724684763,0.44
Samford University,765,0.4229994358033517,0.29
University of South Alabama,1878,0.19017656011572448,0.45
Spring Hill College,431,0.30276358105454837,0.14
Alaska Pacific University,33,0.0862373645732203,0.18
University of Arizona,7401,0.2853535562981578,0.37
Embry-Riddle Aeronautical University-Prescott,448,0.44519397913846137,0.34
Northern Arizona University,4772,0.11381921599171216,0.15
Prescott College,49,0.2837959225230285,0.17
Lyon College,174,0.4097076569063043,0.23
University of Arkansas at Pine Bluff,568,0.0,0.5
Arkansas State University-Main Campus,1619,0.24268572997663318,0.44
Arkansas Tech University,1755,0.0563940605720301,0.54
Central Baptist College,129,0.0631503094741501,0.44
John Brown University,305,0.4145576658612433,0.38
University of Arkansas-Fort Smith,1343,0.09757464078937096,0.6
Biola University,903,0.343493420777721,0.26
California Baptist University,993,0.030051063228085723,0.33
California Institute of Technology,249,0.9590225465522962,0.43
University of California-Berkeley,4162,0.8213658240736407,0.37
University of California-Davis,5208,0.5366761102350672,0.23
University of California-Irvine,5077,0.3463254233964051,0.21
University of California-Los Angeles,5620,0.7271306748763705,0.35
University of California-Riverside,4034,0.1933454350375795,0.21
University of California-San Diego,4575,0.6999018319038353,0.2
University of California-Santa Barbara,4741,0.5852341960715032,0.19
University of California-Santa Cruz,3827,0.2453482991275589,0.19
Chapman University,1289,0.5691745824317775,0.25
Concordia University-Irvine,373,0.09062449206767444,0.2
San Diego Christian College,99,0.051747163593129704,0.36
Claremont McKenna College,337,0.8727467962850874,0.52
Dominican University of California,305,0.14774584165484222,0.17
Fresno Pacific University,212,0.04072502990351174,0.38
Harvey Mudd College,217,0.9418959506915724,0.34
University of La Verne,623,0.10354415271097263,0.23
La Sierra University,477,0.003707556213814009,0.29
Loyola Marymount University,1341,0.5602794798244743,0.22
Menlo College,139,0.05078576181089176,0.09
Mills College,217,0.4155553177209029,0.17
Notre Dame de Namur University,172,0.035074220825658524,0.1
Occidental College,548,0.7574191822396916,0.21
Hope International University,78,0.018189639650000207,0.41
Pacific Union College,335,0.05274991129226847,0.32
University of the Pacific,958,0.4824176796786876,0.09
Pomona College,397,0.9282462507306295,0.4
University of San Francisco,1148,0.4399309187130683,0.13
Scripps College,272,0.8426790021041334,0.32
Simpson University,150,0.1017212286851795,0.47
Saint Mary's College of California,622,0.317881080174396,0.18
University of Southern California,2922,0.850887054297172,0.31
Thomas Aquinas College,88,0.6480532172094728,0.62
Westmont College,298,0.5312381907105889,0.2
Whittier College,446,0.12572604165555346,0.16
Adams State University,519,0.019971155275427036,0.37
Colorado College,522,0.7838473682641252,0.41
Colorado School of Mines,949,0.7217758274630862,0.22
University of Denver,1413,0.5976003362414976,0.13
University of Bridgeport,542,0.005135887659238455,0.16
Central Connecticut State University,1293,0.0741075783917384,0.36
Eastern Connecticut State University,985,0.10486481210586618,0.3
University of New Haven,1174,0.10141217104444289,0.16
Quinnipiac University,1803,0.25565622905866364,0.13
