name,demand,cutoff,yield,trueyield,preferability
University of Arkansas at Pine Bluff,568,0.0,0.5,0.0007543290920029163,4.469233322714244e-6
Delaware State University,1036,0.0,0.28,0.0013758537663996855,8.151629792837952e-6
Wesley College,556,0.0,0.3,0.0007383925618901787,4.37481290040338e-6
Edward Waters College,208,0.0,0.4,0.0002762331886207863,1.6366206533883148e-6
St Thomas University,210,0.0,0.63,0.0002788892769729092,1.6523573904401256e-6
Paine College,268,0.0,0.22,0.0003559158391844746,2.1087227649426365e-6
Savannah State University,1301,0.0,0.54,0.0017277854730559758,1.0236747452202872e-5
University of Hawaii-West Oahu,301,0.0,0.43,0.0003997412969945032,2.368378926297513e-6
Calumet College of Saint Joseph,192,0.0,0.88,0.00025498448180380273,1.5107267569738292e-6
Indiana State University,2661,0.0,0.29,0.0035339255524995785,2.093772864743416e-5
Saint Mary-of-the-Woods College,64,0.0,0.2,8.499482726793424e-5,5.03575585657943e-7
Kentucky State University,506,0.0,0.21,0.000671990353087105,3.981394474108112e-6
Mid-Continent University,201,0.0,0.62,0.000266936879388356,1.5815420737069772e-6
Thomas College,269,0.0,0.35,0.0003572438833605361,2.1165911334685415e-6
University of Maryland Eastern Shore,610,0.0,0.27,0.0008101069473974982,4.799704800802269e-6
Morgan State University,899,0.0,0.33,0.0011939117142792637,7.073663304788918e-6
American International College,346,0.0,0.26,0.0004595032849172695,2.722455509963254e-6
Mount Ida College,307,0.0,0.21,0.00040770956205087207,2.4155891374529455e-6
College of Our Lady of the Elms,198,0.0,0.27,0.0002629527468601716,1.5579369681292613e-6
Rust College,287,0.0,0.66,0.0003811486785296426,2.2582217669348383e-6
Felician College,153,0.0,0.11,0.00020319075893740528,1.20386038446352e-6
Saint Peter's University,610,0.0,0.18,0.0008101069473974982,4.799704800802269e-6
Chowan University,474,0.0,0.21,0.000629492939453138,3.7296066812791404e-6
Elizabeth City State University,527,0.0,0.23,0.000699879280784396,4.146630213152124e-6
Greensboro College,200,0.0,0.19,0.0002656088352122945,1.573673705181072e-6
Livingstone College,395,0.0,0.17,0.0005245774495442816,3.108005567732617e-6
North Carolina Central University,1407,0.0,0.31,0.001868558155718492,1.1070794515948842e-5
Winston-Salem State University,685,0.0,0.24,0.0009097102606021087,5.3898324402451716e-6
Holy Family University,297,0.0,0.29,0.0003944291202902573,2.3369054521938917e-6
Lincoln University of Pennsylvania,448,0.0,0.23,0.0005949637908755396,3.525029099605601e-6
Neumann University,503,0.0,0.27,0.0006680062205589207,3.957789368530396e-6
Pennsylvania State University-Penn State Shenango,90,0.0,0.57,0.00011952397584553253,7.081531673314823e-7
